latitude,longitude
48.88073,2.43254
48.87534,2.21907
48.87534,2.22761
48.87533,2.23615
48.87533,2.24469
48.87533,2.25322
48.87532,2.26176
48.87532,2.27030
48.87531,2.27884
48.87531,2.28737
48.87530,2.29591
48.87529,2.30445
48.87529,2.31299
48.87528,2.32153
48.87527,2.33006
48.87526,2.33860
48.87525,2.34714
48.87524,2.35568
48.87523,2.36421
48.87522,2.37275
48.87520,2.38129
48.87519,2.38983
48.87518,2.39836
48.87516,2.40690
48.87515,2.41544
48.87513,2.42398
48.87511,2.43251
48.86972,2.21907
48.86972,2.22761
48.86972,2.23614
48.86972,2.24468
48.86971,2.25322
48.86971,2.26176
48.86970,2.27029
48.86970,2.27883
48.86969,2.28737
48.86969,2.29590
48.86968,2.30444
48.86967,2.31298
48.86966,2.32151
48.86965,2.33005
48.86964,2.33859
48.86963,2.34712
48.86962,2.35566
48.86961,2.36420
48.86960,2.37273
48.86959,2.38127
48.86957,2.38981
48.86956,2.39834
48.86955,2.40688
48.86953,2.41542
48.86952,2.42395
48.86950,2.43249
48.86411,2.21907
48.86411,2.22760
48.86410,2.23614
48.86410,2.24468
48.86410,2.25321
48.86409,2.26175
48.86409,2.27028
48.86408,2.27882
48.86408,2.28736
48.86407,2.29589
48.86406,2.30443
48.86406,2.31296
48.86405,2.32150
48.86404,2.33004
48.86403,2.33857
48.86402,2.34711
48.86401,2.35564
48.86400,2.36418
48.86398,2.37271
48.86397,2.38125
48.86396,2.38979
48.86395,2.39832
48.86393,2.40686
48.86392,2.41539
48.86390,2.42393
48.86388,2.43246
48.85849,2.21907
48.85849,2.22760
48.85849,2.23614
48.85848,2.24467
48.85848,2.25321
48.85848,2.26174
48.85847,2.27028
48.85847,2.27881
48.85846,2.28735
48.85846,2.29588
48.85845,2.30442
48.85844,2.31295
48.85843,2.32149
48.85842,2.33002
48.85841,2.33856
48.85840,2.34709
48.85839,2.35563
48.85838,2.36416
48.85837,2.37270
48.85836,2.38123
48.85834,2.38977
48.85833,2.39830
48.85832,2.40684
48.85830,2.41537
48.85828,2.42390
48.85827,2.43244
48.85288,2.21906
48.85287,2.22760
48.85287,2.23613
48.85287,2.24467
48.85287,2.25320
48.85286,2.26174
48.85286,2.27027
48.85285,2.27880
48.85285,2.28734
48.85284,2.29587
48.85283,2.30441
48.85282,2.31294
48.85282,2.32147
48.85281,2.33001
48.85280,2.33854
48.85279,2.34707
48.85278,2.35561
48.85277,2.36414
48.85275,2.37268
48.85274,2.38121
48.85273,2.38974
48.85271,2.39828
48.85270,2.40681
48.85269,2.41535
48.85267,2.42388
48.85265,2.43241
48.84726,2.21906
48.84726,2.22760
48.84726,2.23613
48.84725,2.24466
48.84725,2.25320
48.84725,2.26173
48.84724,2.27026
48.84724,2.27879
48.84723,2.28733
48.84722,2.29586
48.84722,2.30439
48.84721,2.31293
48.84720,2.32146
48.84719,2.32999
48.84718,2.33853
48.84717,2.34706
48.84716,2.35559
48.84715,2.36413
48.84714,2.37266
48.84713,2.38119
48.84711,2.38972
48.84710,2.39826
48.84708,2.40679
48.84707,2.41532
48.84705,2.42386
48.84704,2.43239
48.84165,2.21906
48.84164,2.22759
48.84164,2.23613
48.84164,2.24466
48.84164,2.25319
48.84163,2.26172
48.84163,2.27025
48.84162,2.27879
48.84162,2.28732
48.84161,2.29585
48.84160,2.30438
48.84159,2.31291
48.84159,2.32145
48.84158,2.32998
48.84157,2.33851
48.84156,2.34704
48.84155,2.35558
48.84154,2.36411
48.84152,2.37264
48.84151,2.38117
48.84150,2.38970
48.84148,2.39824
48.84147,2.40677
48.84145,2.41530
48.84144,2.42383
48.84142,2.43236
48.83603,2.21906
48.83603,2.22759
48.83603,2.23612
48.83602,2.24465
48.83602,2.25318
48.83602,2.26172
48.83601,2.27025
48.83601,2.27878
48.83600,2.28731
48.83599,2.29584
48.83599,2.30437
48.83598,2.31290
48.83597,2.32143
48.83596,2.32996
48.83595,2.33850
48.83594,2.34703
48.83593,2.35556
48.83592,2.36409
48.83591,2.37262
48.83590,2.38115
48.83588,2.38968
48.83587,2.39821
48.83585,2.40675
48.83584,2.41528
48.83582,2.42381
48.83581,2.43234
48.83041,2.21906
48.83041,2.22759
48.83041,2.23612
48.83041,2.24465
48.83040,2.25318
48.83040,2.26171
48.83040,2.27024
48.83039,2.27877
48.83038,2.28730
48.83038,2.29583
48.83037,2.30436
48.83036,2.31289
48.83036,2.32142
48.83035,2.32995
48.83034,2.33848
48.83033,2.34701
48.83032,2.35554
48.83030,2.36407
48.83029,2.37260
48.83028,2.38113
48.83027,2.38966
48.83025,2.39819
48.83024,2.40672
48.83022,2.41525
48.83021,2.42378
48.83019,2.43231
48.82480,2.21905
48.82480,2.22758
48.82480,2.23611
48.82479,2.24464
48.82479,2.25317
48.82479,2.26170
48.82478,2.27023
48.82478,2.27876
48.82477,2.28729
48.82476,2.29582
48.82476,2.30435
48.82475,2.31288
48.82474,2.32141
48.82473,2.32994
48.82472,2.33847
48.82471,2.34700
48.82470,2.35553
48.82469,2.36405
48.82468,2.37258
48.82466,2.38111
48.82465,2.38964
48.82464,2.39817
48.82462,2.40670
48.82461,2.41523
48.82459,2.42376
48.82458,2.43229
48.81918,2.21905
48.81918,2.22758
48.81918,2.23611
48.81918,2.24464
48.81917,2.25317
48.81917,2.26170
48.81916,2.27022
48.81916,2.27875
48.81915,2.28728
48.81915,2.29581
48.81914,2.30434
48.81913,2.31287
48.81912,2.32139
48.81912,2.32992
48.81911,2.33845
48.81910,2.34698
48.81908,2.35551
48.81907,2.36404
48.81906,2.37257
48.81905,2.38109
48.81904,2.38962
48.81902,2.39815
48.81901,2.40668
48.81899,2.41521
48.81898,2.42374
48.81896,2.43226
48.81357,2.21905
48.81357,2.22758
48.81356,2.23611
48.81356,2.24463
48.81356,2.25316
48.81355,2.26169
48.81355,2.27022
48.81354,2.27874
48.81354,2.28727
48.81353,2.29580
48.81352,2.30433
48.81352,2.31285
48.81351,2.32138
48.81350,2.32991
48.81349,2.33844
48.81348,2.34696
48.81347,2.35549
48.81346,2.36402
48.81345,2.37255
48.81343,2.38107
48.81342,2.38960
48.81341,2.39813
