TEBZ_1,TEBZ_2,TEBZ_3,TEBZ_4,TEBZ_5,TEB_Z_6,ZS,THT_1,THT_2,THT_3,THT_4,THT_5,THT_6,THT_7,THT_8,THT_9,THT_10,THT_11,THT_12,THT_13,THT_14,THT_15,THT_16,THT_17,THT_18,THT_19,THT_20,THT_21,THT_22,THT_23,THT_24,THT_25,THT_26,THT_27,THT_28,THT_29,THT_30,THT_31,THT_32,TEB_1,TEB_2,TEB_3,TEB_4,TEB_5,TEB_6,latitude,longitude
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,45.64342,296.24833,296.24833,297.34585,300.77049,303.01230,304.54673,305.65408,306.43683,306.92072,307.06565,307.26271,308.43842,309.05683,309.46182,310.31739,312.20284,315.89410,319.90673,322.81683,325.16722,327.15964,328.65652,330.31832,331.98121,333.60110,335.37394,337.49037,341.04313,348.09556,359.23020,371.33690,371.33690,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.92003,2.43699
999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,37.87529,296.20921,296.20921,296.77478,299.37335,302.80131,304.91828,305.63245,306.40874,306.79608,306.99903,307.23482,308.43464,309.11821,309.52063,310.22265,312.07435,315.65982,319.69771,322.89489,325.05377,327.08558,328.60579,330.29810,332.03903,333.71551,335.40175,337.54224,341.18064,348.26072,359.19006,371.18659,371.18659,999.00000,999.00000,999.00000,999.00000,999.00000,999.00000,48.91464,2.22336
0.50000,2.00000,4.00000,6.50000,10.00000,36.74991,38.53896,296.19727,296.19727,296.78717,299.44371,302.82501,304.94216,305.65918,306.41495,306.79627,306.99380,307.23329,308.42874,309.11314,309.52059,310.22354,312.07327,315.65684,319.69810,322.90108,325.05619,327.07770,328.60901,330.29749,332.04843,333.71162,335.39710,337.53885,341.18207,348.24458,359.19540,371.19854,371.19854,298.04769,297.80858,297.67022,297.54062,297.07993,297.41938,48.91464,2.23190
0.50000,2.00000,4.00000,6.50000,10.00000,36.47372,39.87890,296.18534,296.18534,296.79956,299.51407,302.84871,304.96603,305.68590,306.42115,306.79646,306.98857,307.24455,308.43203,309.11052,309.51911,310.22443,312.07624,315.66421,319.71551,322.89610,325.06329,327.08094,328.61374,330.29687,332.05782,333.70773,335.39244,337.53545,341.18350,348.22844,359.20074,371.21050,371.21050,297.96888,297.76227,297.63221,297.50225,297.05487,297.38816,48.91464,2.24045
0.50000,2.00000,4.00000,6.50000,10.00000,37.36791,40.99610,296.18649,296.18649,296.78816,299.52792,302.78505,304.97424,305.72112,306.43473,306.80323,306.97961,307.25208,308.42586,309.10263,309.51762,310.22779,312.08472,315.68719,319.73135,322.88146,325.07965,327.08184,328.60770,330.30748,332.06133,333.71383,335.39593,337.52327,341.18526,348.21705,359.20109,371.21894,371.21894,297.95397,297.74704,297.62792,297.51961,297.04511,297.39097,48.91464,2.24899
0.50000,2.00000,4.00000,7.11375,19.19959,39.14377,40.85357,296.20955,296.20955,296.69249,299.52036,302.73462,304.95607,305.74120,306.47164,306.80870,306.97130,307.25380,308.42036,309.09701,309.51779,310.23158,312.09143,315.69914,319.72859,322.88449,325.08974,327.07536,328.58588,330.33911,332.05671,333.69140,335.39773,337.51351,341.19965,348.23364,359.17007,371.21880,371.21880,297.93965,297.74555,297.64374,297.53168,297.06965,297.30578,48.91463,2.25754
0.50000,2.00000,4.00000,7.07500,19.12264,39.06791,39.94026,296.21561,296.21561,296.53148,299.53592,302.73179,304.98084,305.77280,306.49382,306.81152,306.97035,307.23168,308.41219,309.08584,309.51824,310.23609,312.09033,315.69637,319.73038,322.87939,325.10139,327.05586,328.58582,330.36407,332.06471,333.67080,335.35127,337.48801,341.21490,348.27466,359.13082,371.21431,371.21431,297.95109,297.76077,297.66133,297.55199,297.08452,297.32280,48.91463,2.26608
0.50000,2.00000,4.00000,7.76375,20.50199,40.45096,37.22224,296.20255,296.20255,296.45499,299.38621,302.65108,304.98338,305.78441,306.53294,306.81285,306.98595,307.20128,308.40759,309.08014,309.51709,310.23540,312.08866,315.69252,319.72473,322.86840,325.11263,327.03591,328.58966,330.36777,332.09097,333.68127,335.33279,337.43800,341.19667,348.28958,359.12575,371.21055,371.21055,298.28941,297.99244,297.83512,297.63393,297.09772,297.35183,48.91462,2.27462
0.50000,2.00000,4.00000,7.00417,18.98543,38.93963,33.66347,296.16647,296.16647,296.31350,299.33650,302.54008,304.90118,305.76405,306.54302,306.81072,307.02260,307.17239,308.40569,309.07103,309.51628,310.22863,312.08200,315.68469,319.71699,322.85824,325.11602,327.03248,328.59264,330.34549,332.11532,333.70691,335.33941,337.42201,341.16293,348.26121,359.14359,371.21433,371.21433,298.24121,297.96319,297.79927,297.62099,297.09643,297.34980,48.91462,2.28317
0.50000,2.00000,4.00000,7.60000,20.17786,40.13357,32.63750,296.14018,296.14018,296.32026,299.39226,302.49289,304.85385,305.71603,306.54829,306.81051,307.03131,307.15544,308.39356,309.06431,309.51363,310.22958,312.08234,315.68645,319.71835,322.85263,325.11942,327.04084,328.60063,330.30285,332.12631,333.71874,335.35470,337.43420,341.15296,348.23498,359.15020,371.22664,371.22664,298.39242,298.05130,297.86696,297.64062,297.08002,297.34096,48.91461,2.29171
0.50000,2.00000,4.00000,7.54667,20.07217,40.02986,31.18312,296.09039,296.09039,296.30097,299.42429,302.41752,304.75859,305.69202,306.54798,306.81144,307.03230,307.16241,308.39376,309.04993,309.51355,310.23687,312.08223,315.68938,319.72549,322.83996,325.13534,327.05301,328.61071,330.27379,332.12406,333.70163,335.35713,337.43741,341.14715,348.22346,359.14871,371.22917,371.22917,298.24163,297.91835,297.75927,297.57149,297.04434,297.29551,48.91460,2.30026
0.50000,2.00000,4.00000,7.86750,20.71454,40.67361,30.16916,296.08262,296.08262,296.36515,299.43302,302.37631,304.68954,305.63597,306.54217,306.82114,307.04429,307.20153,308.40090,309.04833,309.51418,310.24041,312.08054,315.68840,319.73681,322.83646,325.14405,327.07598,328.62086,330.24843,332.11219,333.68008,335.34572,337.43343,341.13695,348.21555,359.15028,371.23385,371.23385,298.17136,297.84217,297.69999,297.54401,297.04650,297.29049,48.91460,2.30880
0.50000,2.00000,4.00000,7.39833,19.77662,39.73652,29.56705,296.08893,296.08893,296.39334,299.53207,302.35970,304.59737,305.60461,306.52727,306.82609,307.05928,307.19949,308.43752,309.04620,309.51973,310.25145,312.07555,315.68834,319.74605,322.83803,325.14778,327.08514,328.62539,330.23531,332.10735,333.66600,335.33204,337.41881,341.12276,348.22397,359.14263,371.22442,371.22442,298.33742,298.01020,297.83019,297.61640,297.05863,297.31901,48.91459,2.31735
0.50000,2.00000,4.00000,7.47250,19.92339,39.88018,31.58571,296.09212,296.09212,296.42901,299.70968,302.46159,304.57563,305.58112,306.52325,306.83296,307.06840,307.18028,308.49531,309.03932,309.51827,310.25381,312.07610,315.69686,319.76146,322.84293,325.15175,327.07984,328.64688,330.22631,332.10187,333.66100,335.32274,337.40860,341.11917,348.26630,359.12368,371.21899,371.21899,297.83552,297.66278,297.58177,297.48384,297.04189,297.27171,48.91458,2.32589
0.50000,2.00000,4.00000,6.96250,18.89954,38.84861,37.36380,296.13971,296.13971,296.50112,299.95133,302.65551,304.59474,305.58766,306.52848,306.84423,307.08144,307.16050,308.49801,309.03349,309.51078,310.25699,312.08959,315.74388,319.79117,322.85970,325.15510,327.08582,328.66885,330.24659,332.09614,333.66628,335.31657,337.38945,341.10711,348.30031,359.13180,371.20731,371.20731,298.13239,297.84749,297.69891,297.54497,297.03340,297.28264,48.91457,2.33443
0.50000,2.00000,4.00000,6.50000,10.00000,37.06096,37.61331,296.14098,296.14098,296.41950,299.97872,302.70374,304.57899,305.57093,306.53039,306.84987,307.08473,307.16431,308.47501,309.02068,309.49624,310.25587,312.08870,315.77790,319.79340,322.86438,325.15601,327.08114,328.68486,330.27183,332.09485,333.69128,335.34480,337.36955,341.05439,348.30409,359.15213,371.20167,371.20167,298.19930,297.92504,297.74580,297.56880,297.03258,297.39878,48.91456,2.34298
0.50000,2.00000,4.00000,6.86167,18.69763,38.64623,37.90487,296.14563,296.14563,296.39377,300.12414,302.77605,304.55536,305.54473,306.51471,306.85289,307.08528,307.16580,308.46489,309.01777,309.49010,310.25741,312.09024,315.78705,319.80499,322.85777,325.15663,327.08184,328.69030,330.30453,332.08682,333.70770,335.38747,337.37005,341.02374,348.26151,359.18806,371.21613,371.21613,298.05829,297.79625,297.66023,297.52363,297.03441,297.27672,48.91455,2.35152
0.50000,2.00000,4.00000,6.82500,18.62416,38.57247,38.11964,296.16112,296.16112,296.41945,300.23163,302.85901,304.53219,305.51081,306.48218,306.85238,307.08202,307.17401,308.46231,309.01445,309.48103,310.26411,312.10585,315.78772,319.82236,322.84234,325.16280,327.09442,328.68234,330.33583,332.06889,333.69370,335.40426,337.41831,341.00338,348.22247,359.20260,371.23187,371.23187,298.22020,297.93342,297.75958,297.57696,297.04792,297.30228,48.91454,2.36007
0.50000,2.00000,4.00000,6.50000,10.00000,37.75468,37.84286,296.15126,296.15126,296.44144,300.30478,302.95074,304.51000,305.49836,306.47198,306.85133,307.08187,307.16343,308.45343,309.01338,309.47254,310.26645,312.12396,315.78866,319.83575,322.82682,325.17707,327.10280,328.66214,330.35702,332.05985,333.68782,335.40064,337.44524,340.99998,348.19564,359.21107,371.23641,371.23641,298.10470,297.83728,297.69110,297.56280,297.04059,297.40550,48.91453,2.36861
0.50000,2.00000,4.00000,6.50000,10.00000,36.82124,38.66104,296.16438,296.16438,296.51733,300.34469,303.05712,304.52302,305.49988,306.47705,306.86219,307.08574,307.15675,308.41737,309.01004,309.46719,310.27155,312.13869,315.79835,319.85508,322.81939,325.20158,327.08698,328.62513,330.36262,332.04902,333.69528,335.39873,337.48172,340.99674,348.14788,359.22693,371.27081,371.27081,298.41604,298.05660,297.82404,297.59681,297.04525,297.41537,48.91451,2.37715
0.50000,2.00000,4.00000,6.79250,18.55778,38.50333,40.01071,296.13588,296.13588,296.64082,300.35537,303.12046,304.55018,305.50684,306.50589,306.88249,307.08732,307.16233,308.39213,309.01137,309.46021,310.27489,312.14239,315.81216,319.87321,322.82423,325.21597,327.04393,328.63147,330.35654,332.01440,333.69827,335.41091,337.50579,340.99514,348.10761,359.24665,371.29275,371.29275,298.17510,297.87339,297.69871,297.52127,297.00318,297.25280,48.91450,2.38570
0.50000,2.00000,4.00000,6.50000,10.00000,37.85844,42.37321,296.13484,296.13484,296.87463,300.39824,303.13935,304.56229,305.49912,306.51669,306.89946,307.08354,307.18049,308.35569,309.01477,309.45586,310.28517,312.14933,315.83132,319.89081,322.82906,325.23565,327.01701,328.65970,330.33367,331.98646,333.66065,335.42248,337.52538,341.00939,348.08330,359.25374,371.31608,371.31608,297.93971,297.71028,297.58676,297.47693,296.97901,297.33358,48.91449,2.39424
0.50000,2.00000,4.00000,9.26250,23.49528,43.43584,43.72971,296.18119,296.18119,296.92406,300.49981,303.13136,304.56706,305.49720,306.51687,306.90799,307.07743,307.21217,308.35775,309.01663,309.45628,310.30091,312.16344,315.85948,319.89145,322.82893,325.23724,327.02728,328.68232,330.30985,331.97109,333.62088,335.41266,337.53396,341.02702,348.07448,359.25231,371.32799,371.32799,298.00784,297.73029,297.61313,297.45413,297.01186,297.23692,48.91447,2.40279
0.50000,2.00000,4.00000,8.35750,21.68594,41.62781,42.82906,296.19211,296.19211,296.93086,300.54812,303.07902,304.57280,305.49848,306.50316,306.92147,307.07527,307.22411,308.38101,309.03066,309.45916,310.30622,312.16755,315.85670,319.89531,322.82152,325.22064,327.04303,328.68334,330.29842,331.96895,333.59984,335.38184,337.52275,341.04281,348.07545,359.23962,371.32962,371.32962,297.87317,297.66039,297.56763,297.45278,297.03130,297.25156,48.91446,2.41133
